Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Hashtags,Mentions,Media Type,,
1448026080238084103,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Le Ney🇧🇷,Le_Ney10,2021-10-12T20:41:35.000Z,Tue Oct 12 20:41:35 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448025544805822468,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",R,ryanzhrr,2021-10-12T20:39:27.000Z,Tue Oct 12 20:39:27 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448025427407253505,"Cristiano Ronaldo has now scored eight goals against Luxembourg ⚽️

It's the most goals he's scored against a single country 💥 https://t.co/k11AzLRVMA

#ChampionsLeague #GOAT #WhiteSox #Scream https://t.co/sNE2UMnmYw",LawrettSurebet,Lawrett89725971,2021-10-12T20:38:59.000Z,Tue Oct 12 20:38:59 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,4,0,photo,,
1448025362441637892,"RT @robaboian_ : Erik Ten Hag, entrenador del #Ajax, hablando del equipo que revolucionó en la #ChampionsLeague en 2019 con su juego super vistoso:

""Todos los jugadores están involucrados, generar el espacio para jugar en equipo""

El subtitulado es mío. Si te gustó, podes dejar tu RT o me gusta. https://t.co/d9enx3phew",Leandro Denardi,oleledenardi,2021-10-12T20:38:44.000Z,Tue Oct 12 20:38:44 +0000 2021,0,0,es,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,2,0,video,,
1448025140877578242,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Titi Parisien,Puissance_94,2021-10-12T20:37:51.000Z,Tue Oct 12 20:37:51 +0000 2021,0,0,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,3,2,video,,
1448024602576408585,"Es war mir ein Freude 
#HomeforWhovians 
Bis in 14 Tagen @one_ard  … nächste Woche ist leider #ChampionsLeague",🇪🇺Ndee 🇩🇪,FrankvanVossen,2021-10-12T20:35:42.000Z,Tue Oct 12 20:35:42 +0000 2021,5,0,de,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,2,1,,,
1448024270450348038,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Барбі Jr. 🇺🇦,knowless713,2021-10-12T20:34:23.000Z,Tue Oct 12 20:34:23 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448023769902194688,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Sinbad 👾,ElFlacoKurdo,2021-10-12T20:32:24.000Z,Tue Oct 12 20:32:24 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448023621411254278,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",N,serok94,2021-10-12T20:31:48.000Z,Tue Oct 12 20:31:48 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448023157617659908,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",r w l s 🐐 🇵🇫 🇩🇿 BENZEMA ❤️,RowLes_s,2021-10-12T20:29:58.000Z,Tue Oct 12 20:29:58 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
